Corner Density,Top Speed,Full Gas,Lifting,Q1 Corner Speed,Median Corner Speed,Q3 Corner Speed,Average Corner Speed,Corner Speed Variance,Year,Session
358.4421722636128,321.0,0.6141821231473246,0.22733615449591732,127,173.5,224,169.52666666666667,3766.3959555555552,2023,1
225.57379875966387,330.0,0.7115181849227354,0.17867826914222998,204,250.5,275,235.0962962962963,3717.3240603566524,2023,2
374.2662111981039,323.0,0.6799526484482316,0.22389625264030297,163,219.5,248,203.72142857142856,2836.3152551020403,2023,3
297.88456956923704,335.5,0.6105929055700653,0.24970338145145343,100,120.0,252,162.45,6959.5675,2023,4
281.5300003969055,336.5,0.567097760610659,0.28359674696946446,107,175.0,242,178.18947368421053,5460.700941828255,2023,5
173.00754009121215,288.0,0.4206028833551769,0.3315829851136067,87,131.5,179,144.43157894736842,4194.697950138504,2023,6
331.37677858034994,326.0,0.6338411174302505,0.2572907734869198,156,190.0,246,196.02142857142857,2106.1638265306124,2023,7
308.5471071934063,325.0,0.5940201686268447,0.2406872993465921,128,146.5,166,154.96428571428572,3025.83443877551,2023,8
431.0336424717686,323.0,0.6715791433231686,0.2040421098620423,146,215.0,256,203.56,4581.166399999999,2023,9
323.84367671450116,324.0,0.664720830223549,0.21983782599167215,180,234.0,294,223.77777777777777,4616.417283950616,2023,10
272.13521672773555,312.0,0.5240626588713777,0.3013075093766504,126,160.0,228,170.21875,2570.6708984375,2023,11
365.7968148812242,333.0,0.5863598387317369,0.28342269722490515,144,193.0,300,207.77894736842106,6525.898504155126,2023,12
303.3890484945624,321.0,0.5494476125686797,0.2867837135471307,121,194.0,254,190.27857142857144,4454.0866836734685,2023,13
524.3612497871513,345.0,0.7084414739275898,0.19220912950892383,120,192.5,215,179.65454545454546,4037.9715702479343,2023,14
257.8612956941745,312.5,0.5029080206972025,0.3042321027048113,113,146.0,205,156.4,3471.0189473684204,2023,15
321.973704397952,330.0,0.610073636441476,0.3318681247906845,163,226.0,253,209.02777777777777,4189.304783950617,2023,16
337.33203948651015,320.0,0.588403910015316,0.3096800497010173,163,220.0,257,210.29375,3127.0324609374998,2023,17
272.8264316695836,322.0,0.5322453299933148,0.29834686293025536,106,210.0,251,188.745,4848.179975000001,2023,18
249.77744156092012,346.0,0.4564287798748131,0.3527353858305776,104,121.0,178,139.8294117647059,2326.8944290657437,2023,19
283.0704464406386,330.5,0.5705558611194709,0.2676110017150479,120,206.0,241,191.26,4529.232399999999,2023,20
362.14789047907044,347.0,0.6549833066635058,0.1935667923874956,112,153.0,256,186.84117647058824,6964.721833910035,2023,21
327.5771017925616,327.5,0.6409372361384745,0.22431331784272962,137,174.5,260,192.1625,4585.82359375,2023,22
